max_meta,daily_clusters_1,daily_clusters_2,daily_clusters_3,daily_clusters_4,daily_clusters_5,grid_size,parameter
9.220166795,3.064295081,3.607911445,8.371316597,11.47191457,9.885864398,9.680112789,77
7.918784657,3.459799109,3.227199555,7.601339186,10.58547478,15.85526668,8.757359171,78
17.09833214,3.864165595,3.935909878,8.885207713,7.940220505,16.10196454,11.77736485,79
10.81014744,3.779861048,3.976660231,8.541294052,9.126865652,11.77091312,9.359885293,80
15.63824589,3.047729481,3.810820318,10.04474479,13.09551025,14.00304811,12.12594809,81
11.021079,3.125640537,3.047794755,9.536830501,11.99517209,9.22073325,10.28815877,82
19.48983973,3.708262239,3.07196076,10.31830144,8.174004585,12.43334433,8.626742148,83
13.46128723,3.574697718,3.274707247,8.275163893,9.697979899,16.50130996,5.30958929,84
16.09404036,3.747875444,3.34516734,8.417247568,11.70957595,15.00153177,8.560805426,85
18.93381431,3.107449138,3.230514091,10.81432896,9.218455386,17.09963504,7.669059087,86
8.802762432,3.962677758,3.747745668,8.495657546,7.759742178,17.93634285,7.097799375,87
12.83036724,3.847860175,3.200835313,7.012589203,12.91741835,12.68047614,7.25862704,88
18.08591515,3.421033981,3.827801918,8.743151801,7.442327771,12.92125906,5.023191577,89
16.84983328,3.272045195,3.523990108,9.841482144,12.44193171,14.41288762,13.48002709,90
6.714353514,3.000000871,3.266671676,11.31911927,10.25265805,15.5959504,7.93292296,91
5.849791019,3.731976131,3.011391473,9.752766627,10.09374896,12.22764278,5.957040386,92
8.97515382,3.557436638,3.065678181,11.75969996,13.03914589,12.73133553,12.08079196,93
18.28180692,3.489002836,3.558574571,8.321731854,9.253595556,14.19003586,5.55993099,94
19.11607136,3.378551278,3.457398029,11.60671474,10.56669984,16.80971082,8.35941002,95
18.37462266,3.914122759,3.028260309,8.201450303,8.511411877,13.34325264,9.560068058,96
19.69419325,3.788145238,3.659322898,7.670960535,11.48586317,15.82498564,12.99549962,97
17.77310857,3.289627335,3.640544513,10.90766348,11.94280234,13.07060123,11.17152105,98
15.78322771,3.314066624,3.153920233,11.23929876,12.95408138,9.377235361,10.18977406,99
